ID,Name,Description,Owner.ID,Owner.Rest,Tracks.Href,Tracks.Total,Rest
1gfgBfpFSPJwRnaVk7dJEE,Floating in mid air,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1gfgBfpFSPJwRnaVk7dJEE/tracks,2,null
1mv9Ql0OjoNrgjmyDzmaqQ,Wouter,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1mv9Ql0OjoNrgjmyDzmaqQ/tracks,382,null
4CAMgoooJ0KSL3h5oZQmMb,Basement Traxx,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4CAMgoooJ0KSL3h5oZQmMb/tracks,8,null
2lUOodktcUcT0RGC4dm4ft,JVB,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2lUOodktcUcT0RGC4dm4ft/tracks,36,null
0oi5qUK3jrwI0bCOKg5kD5,Brunch Pancakes,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0oi5qUK3jrwI0bCOKg5kD5/tracks,5,null
0Q4zehoI00db0sluEXl2Vn,Wildflowers,Let me drink from the waters where the mountain streams flood. Let the smell of wildflowers flow free through my blood.,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0Q4zehoI00db0sluEXl2Vn/tracks,17,null
7L8iFL8AN4rnLA8zZhllx8,Cities,"You may not achieve 100% traffic flow, but you&#x27;re at that perfect 90° angle and this city is truly yours.",jakobjankamminga,null,https://api.spotify.com/v1/playlists/7L8iFL8AN4rnLA8zZhllx8/tracks,67,null
1dhgOeNzNHUsytZZZMmQHZ,Cool cats don't look at explosions,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1dhgOeNzNHUsytZZZMmQHZ/tracks,23,null
3yOeFcMegrUXMPN8yhMzq0,Bat-shit crazy,"Bonkers tunes and tunes about bonkers. This is my soundtrack for crazy days, when songs about satan&#x27;s ice cream truck make more sense than real life.",jakobjankamminga,null,https://api.spotify.com/v1/playlists/3yOeFcMegrUXMPN8yhMzq0/tracks,31,null
2Vh2aBPHWgpWlG317NGCSX,"If You Can't Do It Good, Do It Hard",,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2Vh2aBPHWgpWlG317NGCSX/tracks,19,null
0HgryBUzO9vztdKAztkxcB,Race the future,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0HgryBUzO9vztdKAztkxcB/tracks,34,null
0Zh6fYXe9PUc6gAIOuehyC,code.hour,greatSongs.forEach(function(you){Productivity.increase(you);Creativity.increase(you);Improvement.isInitialised = true;};,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0Zh6fYXe9PUc6gAIOuehyC/tracks,20,null
1OcpP6Hil8TLmPOUDOqejs,The Best Songs Ever Made,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1OcpP6Hil8TLmPOUDOqejs/tracks,37,null
1x6EQn52mpSVppClm3hhA2,Money and run,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1x6EQn52mpSVppClm3hhA2/tracks,13,null
71Gp5TKV1pNFcNcwduvSmn,Drifting through space,"The road is the cosmos, your mind is a Mustang. You may not pass the breathalyzer, but your trip is so far out no one will ever catch you.",jakobjankamminga,null,https://api.spotify.com/v1/playlists/71Gp5TKV1pNFcNcwduvSmn/tracks,16,null
